Table F9.
        Values of SR0/R
Tr,pr
0.0100,0.0500,0.1000,0.2000,0.4000,0.6000,0.8000,1.0000
0.30,-11.614,-10.008,-9.319,-8.635,-7.961,-7.574,-7.304,-7.099
0.35,-11.185,-9.579,-8.890,-8.205,-7.529,-7.140,-6.869,-6.663
0.40,-10.802,-9.196,-8.506,-7.821,-7.144,-6.755,-6.483,-6.275
0.45,-10.453,-8.847,-8.157,-7.472,-6.794,-6.404,-6.132,-5.924
0.50,-10.137,-8.531,-7.841,-7.156,-6.479,-6.089,-5.816,-5.608
0.55,-0.038,-8.245,-7.555,-6.870,-6.193,-5.803,-5.531,-5.324
0.60,-0.029,-7.983,-7.294,-6.610,-5.933,-5.544,-5.273,-5.066
0.65,-0.023,-0.122,-7.052,-6.368,-5.694,-5.306,-5.036,-4.830
0.70,-0.018,-0.096,-0.206,-6.140,-5.467,-5.082,-4.814,-4.610
0.75,-0.015,-0.078,-0.164,-5.917,-5.248,-4.866,-4.600,-4.399
0.80,-0.013,-0.064,-0.134,-0.294,-5.026,-4.694,-4.388,-4.191
0.85,-0.011,-0.054,-0.111,-0.239,-4.785,-4.418,-4.166,-3.976
0.90,-0.009,-0.046,-0.094,-0.199,-0.463,-4.145,-3.912,-3.738
0.93,-0.008,-0.042,-0.085,-0.179,-0.408,-0.750,-3.723,-3.569
0.95,-0.008,-0.039,-0.080,-0.168,-0.377,-0.671,-3.556,-3.433
0.97,-0.007,-0.037,-0.075,-0.157,-0.350,-0.607,-1.056,-3.259
0.98,-0.007,-0.036,-0.073,-0.153,-0.337,-0.580,-0.971,-3.142
0.99,-0.007,-0.035,-0.071,-0.148,-0.326,-0.555,-0.903,-2.972
1.00,-0.007,-0.034,-0.069,-0.144,-0.315,-0.532,-0.847,-2.178
1.01,-0.007,-0.033,-0.067,-0.139,-0.304,-0.510,-0.799,-1.391
1.02,-0.006,-0.032,-0.065,-0.135,-0.294,-0.491,-0.757,-1.225
1.05,-0.006,-0.030,-0.060,-0.124,-0.267,-0.439,-0.656,-0.965
1.10,-0.005,-0.026,-0.053,-0.108,-0.230,-0.371,-0.537,-0.742
1.15,-0.005,-0.023,-0.047,-0.096,-0.201,-0.319,-0.452,-0.607
1.20,-0.004,-0.021,-0.042,-0.085,-0.177,-0.277,-0.389,-0.512
1.30,-0.003,-0.017,-0.033,-0.068,-0.140,-0.217,-0.298,-0.385
1.40,-0.003,-0.014,-0.027,-0.056,-0.114,-0.174,-0.237,-0.303
1.50,-0.002,-0.011,-0.023,-0.046,-0.094,-0.143,-0.194,-0.246
1.60,-0.002,-0.010,-0.019,-0.039,-0.079,-0.120,-0.162,-0.204
1.70,-0.002,-0.008,-0.017,-0.033,-0.067,-0.102,-0.137,-0.172
1.80,-0.001,-0.007,-0.014,-0.029,-0.058,-0.088,-0.117,-0.147
1.90,-0.001,-0.006,-0.013,-0.025,-0.051,-0.076,-0.102,-0.127
