Table F5.
        Values of HR0/RTc
Tr,pr
0.0100,0.0500,0.1000,0.2000,0.4000,0.6000,0.8000,1.0000
0.30,-6.045,-6.043,-6.040,-6.034,-6.022,-6.011,-5.999,-5.987
0.35,-5.906,-5.904,-5.901,-5.895,-5.882,-5.870,-5.858,-5.845
0.40,-5.763,-5.761,-5.757,-5.751,-5.738,-5.726,-5.713,-5.700
0.45,-5.615,-5.612,-5.609,-5.603,-5.590,-5.577,-5.564,-5.551
0.50,-5.465,-5.463,-5.459,-5.453,-5.440,-5.427,-5.414,-5.401
0.55,-0.032,-5.312,-5.309,-5.303,-5.290,-5.278,-5.265,-5.252
0.60,-0.027,-5.162,-5.159,-5.153,-5.141,-5.129,-5.116,-5.104
0.65,-0.023,-0.118,-5.008,-5.002,-4.991,-4.980,-4.968,-4.956
0.70,-0.020,-0.101,-0.213,-4.848,-4.838,-4.828,-4.818,-4.808
0.75,-0.017,-0.088,-0.183,-4.687,-4.679,-4.672,-4.664,-4.655
0.80,-0.015,-0.078,-0.160,-0.345,-4.507,-4.504,-4.499,-4.494
0.85,-0.014,-0.069,-0.141,-0.300,-4.309,-4.313,-4.316,-4.316
0.90,-0.012,-0.062,-0.126,-0.264,-0.596,-4.074,-4.094,-4.108
0.93,-0.011,-0.058,-0.118,-0.246,-0.545,-0.960,-3.920,-3.953
0.95,-0.011,-0.056,-0.113,-0.235,-0.516,-0.885,-3.763,-3.825
0.97,-0.011,-0.054,-0.109,-0.225,-0.490,-0.824,-1.356,-3.658
0.98,-0.010,-0.053,-0.107,-0.221,-0.478,-0.797,-1.273,-3.544
0.99,-0.010,-0.052,-0.105,-0.216,-0.466,-0.773,-1.206,-3.376
1.00,-0.010,-0.051,-0.103,-0.212,-0.455,-0.750,-1.151,-2.584
1.01,-0.010,-0.050,-0.101,-0.208,-0.445,-0.721,-1.102,-1.796
1.02,-0.010,-0.049,-0.099,-0.203,-0.434,-0.708,-1.060,-1.627
1.05,-0.009,-0.046,-0.094,-0.192,-0.407,-0.654,-0.955,-1.359
1.10,-0.008,-0.042,-0.086,-0.175,-0.367,-0.581,-0.827,-1.120
1.15,-0.008,-0.039,-0.079,-0.160,-0.334,-0.523,-0.732,-0.968
1.20,-0.007,-0.036,-0.073,-0.148,-0.305,-0.474,-0.657,-0.857
1.30,-0.006,-0.031,-0.063,-0.127,-0.259,-0.399,-0.545,-0.698
1.40,-0.005,-0.027,-0.055,-0.110,-0.224,-0.341,-0.463,-0.588
1.50,-0.005,-0.024,-0.048,-0.097,-0.196,-0.297,-0.400,-0.505
1.60,-0.004,-0.021,-0.043,-0.086,-0.173,-0.261,-0.350,-0.440
1.70,-0.004,-0.019,-0.038,-0.076,-0.153,-0.231,-0.309,-0.387
1.80,-0.003,-0.017,-0.034,-0.068,-0.137,-0.206,-0.275,-0.344
1.90,-0.003,-0.015,-0.031,-0.062,-0.123,-0.185,-0.246,-0.307
2.00,-0.003,-0.014,-0.028,-0.056,-0.111,-0.167,-0.222,-0.276
2.20,-0.002,-0.012,-0.023,-0.046,-0.092,-0.137,-0.182,-0.226
