Table F1.
        Values of Z0
Tr,pr
0.0100,0.0500,0.1000,0.2000,0.4000,0.6000,0.8000,1.0000
0.30,0.0029,0.0145,0.0290,0.0579,0.1158,0.1737,0.2315,0.2892
0.35,0.0026,0.0130,0.0261,0.0522,0.1043,0.1564,0.2084,0.2604
0.40,0.0024,0.0119,0.0239,0.0477,0.0953,0.1429,0.1904,0.2379
0.45,0.0022,0.0110,0.0221,0.0442,0.0882,0.1322,0.1762,0.2200
0.50,0.0021,0.0103,0.0207,0.0413,0.0825,0.1236,0.1647,0.2056
0.55,0.9804,0.0098,0.0195,0.0390,0.0778,0.1166,0.1553,0.1939
0.60,0.9849,0.0093,0.0186,0.0371,0.0741,0.1109,0.1476,0.1842
0.65,0.9881,0.9377,0.0178,0.0356,0.0710,0.1063,0.1415,0.1765
0.70,0.9904,0.9504,0.8958,0.0344,0.0687,0.1027,0.1366,0.1703
0.75,0.9922,0.9598,0.9165,0.0336,0.0670,0.1001,0.1330,0.1656
0.80,0.9935,0.9669,0.9319,0.8539,0.0661,0.0985,0.1307,0.1626
0.85,0.9946,0.9725,0.9436,0.8810,0.0661,0.0983,0.1301,0.1614
0.90,0.9954,0.9768,0.9528,0.9015,0.7800,0.1006,0.1321,0.1630
0.93,0.9959,0.9790,0.9573,0.9115,0.8059,0.6635,0.1359,0.1664
0.95,0.9961,0.9803,0.9600,0.9174,0.8206,0.6967,0.1410,0.1705
0.97,0.9963,0.9815,0.9625,0.9227,0.8338,0.7240,0.5580,0.1779
0.98,0.9965,0.9821,0.9637,0.9523,0.8398,0.7360,0.5887,0.1844
0.99,0.9966,0.9826,0.9648,0.9277,0.8455,0.7471,0.6138,0.1959
1.00,0.9967,0.9832,0.9659,0.9300,0.8509,0.7574,0.6355,0.2901
1.01,0.9968,0.9837,0.9669,0.9322,0.8561,0.7671,0.6542,0.4648
1.02,0.9969,0.9842,0.9679,0.9343,0.8610,0.7761,0.6710,0.5146
1.05,0.9971,0.9855,0.9707,0.9401,0.8743,0.8002,0.7130,0.6026
1.10,0.9975,0.9874,0.9747,0.9485,0.8930,0.8323,0.7649,0.6880
1.15,0.9978,0.9891,0.9780,0.9554,0.9081,0.8576,0.8032,0.7443
1.20,0.9981,0.9904,0.9808,0.9611,0.9205,0.8779,0.8330,0.7858
1.30,0.9985,0.9926,0.9852,0.9702,0.9396,0.9083,0.8764,0.8438
1.40,0.9988,0.9942,0.9884,0.9768,0.9534,0.9298,0.9062,0.8827
1.50,0.9991,0.9954,0.9909,0.9818,0.9636,0.9456,0.9278,0.9103
1.60,0.9993,0.9964,0.9928,0.9856,0.9714,0.9575,0.9439,0.9308
1.70,0.9994,0.9971,0.9943,0.9886,0.9775,0.9667,0.9563,0.9463
1.80,0.9995,0.9977,0.9955,0.9910,0.9823,0.9739,0.9659,0.9583
1.90,0.9996,0.9982,0.9964,0.9929,0.9861,0.9796,0.9735,0.9678
2.00,0.9997,0.9986,0.9972,0.9944,0.9892,0.9842,0.9796,0.9754
2.20,0.9998,0.9992,0.9983,0.9967,0.9937,0.9910,0.9886,0.9865
2.40,0.9999,0.9996,0.9991,0.9983,0.9969,0.9957,0.9948,0.9941
2.60,1.0000,0.9998,0.9997,0.9994,0.9991,0.9990,0.9990,0.9993
2.80,1.0000,1.0000,1.0001,1.0002,1.0007,1.0013,1.0021,1.0031
3.00,1.0000,1.0002,1.0004,1.0008,1.0018,1.0030,1.0043,1.0057
3.50,1.0001,1.0004,1.0008,1.0017,1.0035,1.0055,1.0075,1.0097
4.00,1.0001,1.0005,1.0010,1.0021,1.0043,1.0066,1.0090,1.0115
